prefix,course,section,max_enroll,seats_avail,waitlist
ACC,2301,01,50,0,6
ACC,2301,02,50,0,2
ACC,2301,03,50,0,1
ACC,2301,W1,40,1,5
ACC,2303,01,200,46,0
ACC,2303,02,225,41,0
ACC,2303,H1,24,18,0
ACC,2304,01,40,0,13
ACC,2304,02,65,0,18
ACC,2304,04,50,36,0
ACC,2304,05,55,3,0
ACC,2304,06,55,2,0
ACC,2304,07,55,1,0
ACC,2304,08,65,0,10
ACC,2304,09,55,0,11
ACC,2304,12,55,0,5
ACC,3301,01,28,19,0
ACC,3301,02,28,0,0
ACC,3302,01,30,0,0
ACC,3302,02,30,0,3
ACC,3302,03,30,0,1
ACC,3302,04,30,22,0
ACC,3302,05,30,0,1
ACC,3302,06,30,0,4
ACC,3303,01,28,20,0
ACC,3303,02,28,2,0
ACC,3304,01,30,0,1
ACC,3304,02,30,0,3
ACC,3304,03,30,18,0
ACC,3304,04,30,0,0
ACC,3304,06,30,0,6
ACC,3304,07,30,5,0
ACC,3305,01,70,8,0
ACC,3305,02,60,14,0
ACC,3305,03,32,0,26
ACC,4308,01,26,0,0
ACC,4308,02,24,1,0
ACC,4330,01,25,1,0
ACC,4330,02,25,0,0
ACC,4340,01,40,32,0
ACC,4396,81,80,72,0
ACC,4396,82,80,79,0
AS,1102,01,19,14,0
AS,1102,02,19,5,0
AS,1102,04,19,7,0
AS,1112,01,100,70,0
AS,2104,01,19,14,0
AS,2104,02,19,6,0
AS,2112,01,100,83,0
AS,3112,01,100,87,0
AS,3302,01,19,5,0
AS,4112,01,100,88,0
AS,4302,01,19,7,0
AMS,4385,01,0,0,0
ANT,1305,W1,19,8,0
ANT,1306,01,60,6,0
ANT,1306,02,60,23,0
ANT,1307,W1,19,8,0
ANT,1325,01,75,1,0
ANT,1325,02,75,36,0
ANT,1404,01,75,48,0
ANT,1404,A,10,0,N/A
ANT,1404,B,10,5,N/A
ANT,1404,C,10,7,N/A
ANT,1404,D,10,10,N/A
ANT,1404,E,10,4,N/A
ANT,1404,F,10,7,N/A
ANT,1407,01,75,41,0
ANT,1407,A,10,2,N/A
ANT,1407,B,10,4,N/A
ANT,1407,C,10,4,N/A
ANT,1407,D,10,6,N/A
ANT,1407,E,10,5,N/A
ANT,1407,F,10,5,N/A
ANT,2V9R,01,3,2,0
ANT,3310,01,5,0,0
ANT,3320,02,17,4,0
ANT,3331,01,11,1,0
ANT,3331,02,11,0,0
ANT,3340,01,18,0,3
ANT,4199,01,2,2,0
ANT,4299,01,1,1,0
ANT,4311,01,12,0,5
ANT,4314,01,16,0,6
ANT,4325,01,18,1,0
ANT,4340,01,13,0,6
ANT,4355,01,15,0,4
ANT,4358,01,7,0,0
ANT,4373,01,18,1,0
ANT,4416,01,12,1,0
ANT,4416,A,7,0,N/A
ANT,4416,B,5,1,N/A
ANT,4V70,01,3,3,0
ANT,4V70,02,3,3,0
ANT,4V70,03,3,3,0
ANT,4V70,04,3,3,0
ANT,4V70,05,3,3,0
ANT,4V70,06,3,3,0
ANT,4V70,07,3,3,0
ANT,4V70,08,3,3,0
ADM,1241,01,15,0,1
ADM,1300,01,24,2,5
ADM,1321,01,15,4,0
ADM,1391,01,19,7,0
ADM,2310,01,36,12,0
ADM,2310,A,18,5,N/A
ADM,2310,B,18,7,N/A
ADM,2311,01,10,0,2
ADM,2311,02,10,0,0
ADM,3301,01,15,4,0
ADM,3340,01,16,1,0
ADM,3361,01,12,0,0
ADM,3363,01,15,3,0
ADM,3364,01,24,4,9
ADM,3391,01,15,0,0
ADM,3393,01,15,0,5
ADM,3V90,01,1,1,0
ADM,3V9R,01,1,1,0
ADM,4312,01,15,0,16
ADM,4371,01,15,4,0
ADM,4391,01,14,1,0
ADM,4392,01,0,3,0
ADM,4393,01,15,5,0
ADM,4394,01,0,0,1
ADM,4396,01,15,1,0
ARB,1302,01,10,1,0
ARB,1302,02,10,5,0
ARB,1302,A,10,5,N/A
ARB,1302,B,10,1,N/A
ARB,2320,02,10,7,0
ARB,3V70,01,0,0,0
ARB,3V70,02,0,0,0
ARB,3V9R,01,19,19,0
ARB,4345,01,10,7,0
ARB,4V9R,01,19,19,0
ARA,4303,01,3,0,0
ARC,4302,01,3,0,0
ART,1310,01,11,0,0
ART,1310,02,11,0,0
ART,1310,03,12,0,0
ART,1310,04,12,0,0
ART,1310,05,11,0,0
ART,1311,01,18,1,0
ART,1314,01,11,1,0
ART,1314,02,11,1,1
ART,1314,03,11,1,0
ART,1314,04,10,1,3
ART,1316,01,15,0,0
ART,2334,01,2,0,9
ART,2336,01,2,0,0
ART,2336,02,5,0,0
ART,2340,01,5,2,1
ART,2341,01,2,0,16
ART,3314,01,11,0,0
ART,3315,01,10,0,0
ART,3321,01,8,0,2
ART,3321,02,13,0,0
ART,3325,01,13,0,0
ART,3333,01,11,1,0
ART,3334,01,10,0,1
ART,3336,01,9,5,0
ART,3336,02,5,3,0
ART,3340,01,8,1,0
ART,3341,01,7,0,0
ART,3345,01,12,0,0
ART,4313,01,2,0,0
ART,4321,01,4,0,0
ART,4321,02,3,0,0
ART,4322,01,1,0,0
ART,4323,01,3,0,0
ART,4329,01,10,4,0
ART,4331,01,10,4,0
ART,4333,01,10,6,0
ART,4336,01,10,2,0
ART,4337,02,1,0,0
ART,4340,01,1,0,0
ART,4341,01,1,0,0
ARTH,1300,01,70,0,2
ARTH,1300,02,70,0,0
ARTH,1300,03,70,32,0
ARTH,1300,04,70,2,0
ARTH,1300,05,70,0,1
ARTH,1300,06,70,0,0
ARTH,1300,07,70,0,0
ARTH,2302,01,34,0,0
ARTH,2303,02,30,3,0
ARTH,3357,01,24,0,0
ARTH,4357,01,20,5,0
ARTH,4361,01,20,5,0
AST,2380,01,19,0,12
AST,3307,01,5,1,0
AST,3345,01,4,3,0
AST,3V80,01,0,0,0
AST,4340,01,4,4,0
AST,4V80,01,0,0,1
AVS,1303,01,45,16,0
AVS,1332,01,16,1,0
AVS,1332,02,16,5,0
AVS,2304,01,45,33,0
AVS,2333,01,35,23,0
AVS,2334,01,35,22,0
AVS,2362,01,35,35,0
AVS,2363,01,35,34,0
AVS,3235,01,35,33,0
AVS,3236,01,35,19,0
AVS,3304,01,45,31,0
AVS,3305,01,45,29,0
AVS,3312,01,40,3,0
AVS,3315,01,45,4,0
AVS,3350,01,35,6,0
AVS,3364,01,35,35,0
AVS,4237,01,35,23,0
AVS,4238,01,35,35,0
AVS,4265,01,35,35,0
AVS,4266,01,35,35,0
AVS,4314,01,45,15,0
AVS,4315,01,45,22,0
AVS,4323,01,3,0,0
AVS,4375,01,35,0,2
AVS,4377,01,35,19,0
AVS,4390,01,6,6,0
AVS,4390,02,6,6,0
AVS,4390,03,19,19,0
AVS,4485,01,2,0,0
AVS,4485,A,2,0,N/A
AVS,4485,B,2,2,N/A
BBF,1101,01,25,25,0
BBF,4007,01,82,37,0
BBF,4V98,01,19,19,0
BIC,1323,01,15,1,N/A
BIC,1323,02,15,0,N/A
BIC,1323,03,15,0,N/A
BIC,1323,04,15,0,N/A
BIC,1323,05,15,0,N/A
BIC,1323,06,15,2,N/A
BIC,1323,07,15,0,N/A
BIC,1323,09,15,0,N/A
BIC,1323,10,15,0,N/A
BIC,1323,8,15,8,N/A
BIC,1324,01,16,0,N/A
BIC,1324,02,16,0,N/A
BIC,1324,03,16,0,N/A
BIC,1324,04,16,1,N/A
BIC,1324,05,16,11,N/A
BIC,1324,06,16,0,N/A
BIC,1324,07,16,9,N/A
BIC,1324,08,16,0,N/A
BIC,1324,09,16,0,N/A
BIC,1324,10,16,0,N/A
BIC,2340,01,14,0,N/A
BIC,2340,02,14,0,N/A
BIC,2340,03,14,3,N/A
BIC,2340,04,14,0,N/A
BIC,2340,05,16,0,N/A
BIC,2340,06,14,0,N/A
BIC,2340,07,14,0,N/A
BIC,2340,08,14,0,N/A
BIC,2340,09,14,12,N/A
BIC,2344,01,18,0,N/A
BIC,2344,02,18,0,N/A
BIC,2344,03,18,0,N/A
BIC,2344,04,18,0,N/A
BIC,2344,05,18,4,N/A
BIC,2344,06,18,0,N/A
BIC,2344,07,18,0,N/A
BIC,2344,08,18,14,N/A
BIC,2447,01,15,0,N/A
BIC,2447,02,15,6,N/A
BIC,2447,03,15,15,N/A
BIC,2447,A,10,7,N/A
BIC,2447,B,10,2,N/A
BIC,2447,C,10,1,N/A
BIC,2447,D,10,6,N/A
BIC,3358,01,12,0,N/A
BIC,3358,02,12,2,N/A
BIC,3358,03,15,1,N/A
BIC,3358,04,15,0,N/A
BIC,4374,01,12,1,N/A
BIC,4389,01,12,1,N/A
BIC,4389,03,12,0,N/A
BIC,4389,04,12,2,N/A
BINF,3360,01,18,12,0
BINF,43C9,01,6,5,0
BIO,1105,01,24,0,2
BIO,1105,02,24,0,7
BIO,1105,03,24,0,5
BIO,1105,04,24,0,1
BIO,1105,05,24,0,0
BIO,1105,06,0,0,1
BIO,1105,07,0,0,3
BIO,1106,01,24,2,0
BIO,1106,02,24,4,1
BIO,1106,03,24,0,7
BIO,1106,04,24,0,4
BIO,1106,05,24,0,5
BIO,1106,06,24,0,5
BIO,1106,07,24,0,6
BIO,1106,08,24,0,5
BIO,1106,09,24,0,2
BIO,1106,10,24,0,3
BIO,1106,11,24,0,7
BIO,1106,12,24,0,7
BIO,1106,13,24,0,6
BIO,1106,14,24,0,7
BIO,1106,15,24,0,6
BIO,1106,16,24,0,4
BIO,1106,17,24,12,0
BIO,1106,18,24,18,0
BIO,1106,19,24,0,15
BIO,1106,20,24,0,5
BIO,1106,21,24,0,6
BIO,1106,22,24,0,5
BIO,1106,23,24,0,6
BIO,1106,24,24,0,5
BIO,1106,25,24,0,1
BIO,1106,26,24,0,1
BIO,1106,27,24,0,4
BIO,1106,28,0,0,2
BIO,1106,29,0,0,3
BIO,1305,01,35,5,2
BIO,1305,02,35,22,0
BIO,1305,03,35,4,4
BIO,1305,04,35,0,1
BIO,1305,05,35,2,1
BIO,1306,01,48,0,15
BIO,1306,02,48,0,5
BIO,1306,03,50,0,7
BIO,1306,04,48,0,0
BIO,1306,05,40,0,3
BIO,1306,06,55,0,10
BIO,1306,07,40,0,3
BIO,1306,08,50,0,6
BIO,1306,09,50,1,2
BIO,1306,10,50,0,16
BIO,1306,11,50,0,11
BIO,1306,12,48,0,8
BIO,1306,13,50,0,8
BIO,1306,14,48,0,9
BIO,1306,15,50,0,6
BIO,1401,01,48,14,0
BIO,1401,A,24,14,N/A
BIO,1401,B,24,0,N/A
BIO,1406,01,48,4,0
BIO,1406,02,24,8,0
BIO,1406,A,24,3,N/A
BIO,1406,B,24,1,N/A
BIO,1406,C,24,8,N/A
BIO,2102,01,120,14,0
BIO,2102,A,24,3,N/A
BIO,2102,B,24,2,N/A
BIO,2102,C,24,2,N/A
BIO,2102,D,24,3,N/A
BIO,2102,E,24,4,N/A
BIO,2106,01,84,28,0
BIO,2106,02,18,5,0
BIO,2106,A,21,12,N/A
BIO,2106,B,21,7,N/A
BIO,2106,C,21,5,N/A
BIO,2106,D,0,0,N/A
BIO,2106,E,21,4,N/A
BIO,2106,G,18,5,N/A
BIO,2302,01,60,7,0
BIO,2302,02,60,6,0
BIO,2306,01,40,0,15
BIO,2306,02,40,0,9
BIO,2306,03,40,0,12
BIO,2306,04,40,0,2
BIO,2306,05,40,6,0
BIO,2401,01,24,4,0
BIO,2401,A,24,4,N/A
BIO,2402,01,24,6,0
BIO,2402,A,24,6,N/A
BIO,3100,01,15,0,25
BIO,3100,02,20,0,21
BIO,3103,01,13,0,3
BIO,3110,01,30,14,0
BIO,3110,02,20,18,0
BIO,3111,01,24,24,0
BIO,3111,02,24,24,0
BIO,3111,03,5,5,0
BIO,3111,04,5,5,0
BIO,3111,05,5,5,0
BIO,3111,06,4,4,0
BIO,3111,07,15,11,0
BIO,3111,08,20,20,0
BIO,3111,09,5,5,0
BIO,3111,10,15,5,0
BIO,3111,11,11,11,0
BIO,3111,12,8,4,0
BIO,3111,13,5,5,0
BIO,3111,14,5,0,0
BIO,3111,15,12,12,0
BIO,3111,16,12,12,0
BIO,3111,17,10,10,0
BIO,3111,18,5,5,0
BIO,3111,19,15,6,0
BIO,3111,20,5,2,0
BIO,3122,01,0,0,1
BIO,3122,02,21,0,0
BIO,3122,03,21,1,1
BIO,3122,04,0,0,2
BIO,3122,05,21,0,1
BIO,3122,06,21,0,5
BIO,3122,07,21,0,2
BIO,3122,08,21,0,1
BIO,3122,09,21,0,1
BIO,3122,10,21,8,0
BIO,3300,01,30,10,0
BIO,3300,02,30,0,9
BIO,3300,03,30,2,0
BIO,3303,01,40,9,0
BIO,3303,02,40,6,6
BIO,3315,01,33,0,6
BIO,3315,02,20,17,0
BIO,3322,01,48,0,2
BIO,3322,02,48,5,0
BIO,3322,03,46,1,3
BIO,3322,04,48,0,0
BIO,3322,05,48,1,0
BIO,3322,06,48,2,0
BIO,3322,07,48,0,5
BIO,3330,01,24,0,49
BIO,3342,01,40,5,0
BIO,3342,02,30,0,14
BIO,3342,03,40,0,8
BIO,3342,04,40,20,0
BIO,3342,05,15,0,0
BIO,3366,01,45,2,0
BIO,3429,01,24,4,0
BIO,3429,A,24,4,N/A
BIO,3V9R,01,5,5,0
BIO,3V9R,02,5,5,0
BIO,3V9R,03,5,3,0
BIO,3V9R,04,5,4,0
BIO,3V9R,05,6,6,0
BIO,3V9R,06,5,5,0
BIO,3V9R,07,5,4,0
BIO,3V9R,08,5,5,0
BIO,3V9R,09,5,3,0
BIO,3V9R,10,0,0,0
BIO,3V9R,11,5,5,0
BIO,3V9R,12,19,18,0
BIO,3V9R,13,10,10,0
BIO,3V9R,14,5,5,0
BIO,3V9R,15,5,5,0
BIO,3V9R,16,3,3,0
BIO,3V9R,17,12,12,0
BIO,3V9R,18,5,5,0
BIO,3V9R,19,5,5,0
BIO,3V9R,20,5,5,0
BIO,3V9R,21,5,5,0
BIO,3V9R,22,5,3,0
BIO,3V9R,23,5,3,0
BIO,3V9R,24,5,2,0
BIO,3V9R,25,5,4,0
BIO,4001,01,250,51,0
BIO,4102,01,132,12,N/A
BIO,4102,A,22,2,N/A
BIO,4102,B,22,4,N/A
BIO,4102,C,22,6,N/A
BIO,4102,D,22,0,N/A
BIO,4102,E,22,0,N/A
BIO,4102,F,22,0,N/A
BIO,4106,01,19,0,N/A
BIO,4106,02,19,0,N/A
BIO,4106,03,19,0,N/A
